project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes
C4WLS - St. Francis,unknown,IMG 1285,IMG 1285,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1285.jpeg,TBD,.jpeg,3325479,unparsed,PHOTOS/IMG_1285.jpeg
C4WLS - St. Francis,unknown,IMG 1285,IMG 1285,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1285.jpeg,TBD,.jpeg,3325479,unparsed,sub email/PHOTOS (1)/IMG_1285.jpeg
C4WLS - St. Francis,unknown,IMG 1286,IMG 1286,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1286.jpeg,TBD,.jpeg,3669676,unparsed,PHOTOS/IMG_1286.jpeg
C4WLS - St. Francis,unknown,IMG 1286,IMG 1286,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1286.jpeg,TBD,.jpeg,3669676,unparsed,sub email/PHOTOS (1)/IMG_1286.jpeg
C4WLS - St. Francis,unknown,IMG 1287,IMG 1287,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1287.jpeg,TBD,.jpeg,7774048,unparsed,PHOTOS/IMG_1287.jpeg
C4WLS - St. Francis,unknown,IMG 1287,IMG 1287,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1287.jpeg,TBD,.jpeg,7774048,unparsed,sub email/PHOTOS (1)/IMG_1287.jpeg
C4WLS - St. Francis,unknown,IMG 1288,IMG 1288,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1288.jpeg,TBD,.jpeg,5101537,unparsed,PHOTOS/IMG_1288.jpeg
C4WLS - St. Francis,unknown,IMG 1288,IMG 1288,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1288.jpeg,TBD,.jpeg,5101537,unparsed,sub email/PHOTOS (1)/IMG_1288.jpeg
C4WLS - St. Francis,unknown,IMG 1289,IMG 1289,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1289.jpeg,TBD,.jpeg,4349536,unparsed,PHOTOS/IMG_1289.jpeg
C4WLS - St. Francis,unknown,IMG 1289,IMG 1289,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1289.jpeg,TBD,.jpeg,4349536,unparsed,sub email/PHOTOS (1)/IMG_1289.jpeg
C4WLS - St. Francis,unknown,IMG 1290,IMG 1290,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1290.jpeg,TBD,.jpeg,4928452,unparsed,PHOTOS/IMG_1290.jpeg
C4WLS - St. Francis,unknown,IMG 1290,IMG 1290,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1290.jpeg,TBD,.jpeg,4928452,unparsed,sub email/PHOTOS (1)/IMG_1290.jpeg
C4WLS - St. Francis,unknown,IMG 1291,IMG 1291,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1291.jpeg,TBD,.jpeg,4742962,unparsed,PHOTOS/IMG_1291.jpeg
C4WLS - St. Francis,unknown,IMG 1291,IMG 1291,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1291.jpeg,TBD,.jpeg,4742962,unparsed,sub email/PHOTOS (1)/IMG_1291.jpeg
C4WLS - St. Francis,unknown,IMG 1292,IMG 1292,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1292.jpeg,TBD,.jpeg,4669741,unparsed,PHOTOS/IMG_1292.jpeg
C4WLS - St. Francis,unknown,IMG 1292,IMG 1292,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1292.jpeg,TBD,.jpeg,4669741,unparsed,sub email/PHOTOS (1)/IMG_1292.jpeg
C4WLS - St. Francis,unknown,IMG 1293,IMG 1293,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1293.jpeg,TBD,.jpeg,5192126,unparsed,PHOTOS/IMG_1293.jpeg
C4WLS - St. Francis,unknown,IMG 1293,IMG 1293,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1293.jpeg,TBD,.jpeg,5192126,unparsed,sub email/PHOTOS (1)/IMG_1293.jpeg
C4WLS - St. Francis,unknown,IMG 1294,IMG 1294,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1294.jpeg,TBD,.jpeg,4150835,unparsed,PHOTOS/IMG_1294.jpeg
C4WLS - St. Francis,unknown,IMG 1294,IMG 1294,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1294.jpeg,TBD,.jpeg,4150835,unparsed,sub email/PHOTOS (1)/IMG_1294.jpeg
C4WLS - St. Francis,unknown,IMG 6925,IMG 6925,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6925.HEIC,TBD,.heic,2723329,unparsed,PHOTOS/IMG_6925.HEIC
C4WLS - St. Francis,unknown,IMG 6925,IMG 6925,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6925.HEIC,TBD,.heic,2723329,unparsed,sub email/PHOTOS (1)/IMG_6925.HEIC
C4WLS - St. Francis,unknown,IMG 6926,IMG 6926,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6926.HEIC,TBD,.heic,2486818,unparsed,PHOTOS/IMG_6926.HEIC
C4WLS - St. Francis,unknown,IMG 6926,IMG 6926,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6926.HEIC,TBD,.heic,2486818,unparsed,sub email/PHOTOS (1)/IMG_6926.HEIC
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6927 (1).HEIC,TBD,.heic,2143102,unparsed,PHOTOS/IMG_6927 (1).HEIC
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6927.HEIC,TBD,.heic,2143102,unparsed,PHOTOS/IMG_6927.HEIC
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6927 (1).HEIC,TBD,.heic,2143102,unparsed,sub email/PHOTOS (1)/IMG_6927 (1).HEIC
C4WLS - St. Francis,unknown,IMG 6927,IMG 6927,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6927.HEIC,TBD,.heic,2143102,unparsed,sub email/PHOTOS (1)/IMG_6927.HEIC
C4WLS - St. Francis,unknown,IMG 6928,IMG 6928,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6928.HEIC,TBD,.heic,2274341,unparsed,PHOTOS/IMG_6928.HEIC
C4WLS - St. Francis,unknown,IMG 6928,IMG 6928,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6928.HEIC,TBD,.heic,2274341,unparsed,sub email/PHOTOS (1)/IMG_6928.HEIC
C4WLS - St. Francis,unknown,IMG 6929,IMG 6929,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6929.HEIC,TBD,.heic,2121687,unparsed,PHOTOS/IMG_6929.HEIC
C4WLS - St. Francis,unknown,IMG 6929,IMG 6929,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6929.HEIC,TBD,.heic,2121687,unparsed,sub email/PHOTOS (1)/IMG_6929.HEIC
C4WLS - St. Francis,unknown,IMG 6930,IMG 6930,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6930.HEIC,TBD,.heic,2582396,unparsed,PHOTOS/IMG_6930.HEIC
C4WLS - St. Francis,unknown,IMG 6930,IMG 6930,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6930.HEIC,TBD,.heic,2582396,unparsed,sub email/PHOTOS (1)/IMG_6930.HEIC
C4WLS - St. Francis,unknown,IMG 6931,IMG 6931,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6931.HEIC,TBD,.heic,2909032,unparsed,PHOTOS/IMG_6931.HEIC
C4WLS - St. Francis,unknown,IMG 6931,IMG 6931,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6931.HEIC,TBD,.heic,2909032,unparsed,sub email/PHOTOS (1)/IMG_6931.HEIC
C4WLS - St. Francis,unknown,IMG 6932,IMG 6932,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6932.HEIC,TBD,.heic,2552422,unparsed,PHOTOS/IMG_6932.HEIC
C4WLS - St. Francis,unknown,IMG 6932,IMG 6932,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6932.HEIC,TBD,.heic,2552422,unparsed,sub email/PHOTOS (1)/IMG_6932.HEIC
C4WLS - St. Francis,unknown,IMG 6933,IMG 6933,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6933.HEIC,TBD,.heic,3208847,unparsed,PHOTOS/IMG_6933.HEIC
C4WLS - St. Francis,unknown,IMG 6933,IMG 6933,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6933.HEIC,TBD,.heic,3208847,unparsed,sub email/PHOTOS (1)/IMG_6933.HEIC
C4WLS - St. Francis,unknown,IMG 6934,IMG 6934,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6934.HEIC,TBD,.heic,2896867,unparsed,PHOTOS/IMG_6934.HEIC
